trade_date,commid,open_price,high_price,low_price,close_price,clear_price,vol,hold
2015-3-13,CF1507,13230,13285,13225,13285,13235,22,1234
2015-3-13,CF1509,13510,13535,13460,13480,13505,31948,130168
2015-3-13,CF1511,13750,13750,13680,13680,13720,132,512
2015-3-13,CF1601,13865,13885,13810,13830,13845,1886,29310
2015-3-16,CF1505,13150,13155,13075,13135,13120,46882,179194
2015-3-16,CF1507,13225,13285,13225,13285,13240,18,1230
2015-3-16,CF1509,13485,13490,13360,13420,13415,42226,133872
2015-3-16,CF1511,13635,13645,13600,13630,13600,314,370
2015-3-16,CF1601,13830,13830,13715,13760,13770,1336,29488
2015-3-16,CF1603,14005,14005,13550,13895,13840,16,10
2015-3-17,CF1505,13125,13150,13085,13090,13115,31910,171936
2015-3-17,CF1507,13230,13260,13230,13230,13235,22,1212
2015-3-17,CF1509,13405,13435,13360,13365,13390,28050,138364
2015-3-17,CF1511,13625,13625,13570,13570,13585,18,374
2015-3-17,CF1601,13750,13770,13700,13700,13730,1430,29652
2015-3-17,CF1603,13770,13870,13760,13870,13785,18,12
2015-3-18,CF1505,13090,13090,13010,13020,13055,51140,156702
2015-3-18,CF1507,13180,13180,13140,13140,13160,34,1230
2015-3-18,CF1509,13365,13365,13265,13305,13320,52334,142824
2015-3-18,CF1511,13545,13550,13505,13505,13525,28,378
2015-3-18,CF1601,13680,13705,13630,13660,13670,1772,30366
2015-3-18,CF1603,0,0,0,0,13785,0,12
2015-3-19,CF1505,13010,13145,12955,12980,13035,79592,154924
2015-3-19,CF1507,13090,13260,13090,13100,13120,18,1222
2015-3-19,CF1509,13285,13450,13205,13225,13310,100734,166690
2015-3-19,CF1511,13450,13565,13435,13565,13490,18,380
2015-3-19,CF1601,13645,13800,13580,13605,13665,2800,31040
2015-3-19,CF1603,13775,13775,13775,13775,13775,2,14
2015-3-20,CF1505,13005,13040,12920,12960,12985,42996,153616
2015-3-20,CF1507,13105,13130,13040,13050,13075,42,1220
2015-3-20,CF1509,13255,13265,13130,13180,13220,79946,179990
2015-3-20,CF1511,13460,13470,13430,13430,13450,8,376
2015-3-20,CF1601,13625,13640,13515,13550,13585,3320,32164
2015-3-20,CF1603,13465,13815,13465,13645,13665,8,16
2015-3-23,CF1505,12975,13010,12940,12990,12975,49412,137090
2015-3-23,CF1507,13100,13105,13035,13070,13075,60,1222
2015-3-23,CF1509,13185,13315,13170,13310,13250,106198,190054
2015-3-23,CF1511,13460,13510,13440,13510,13475,8,372
2015-3-23,CF1601,13560,13650,13540,13650,13605,3410,32740
2015-3-23,CF1603,0,0,0,0,13690,0,16
2015-3-24,CF1505,13000,13070,12990,13005,13035,56322,115656
2015-3-24,CF1507,13195,13195,13135,13160,13175,28,1232
2015-3-24,CF1509,13330,13420,13310,13335,13370,102982,194424
2015-3-24,CF1511,13565,13630,13560,13570,13570,116,458
2015-3-24,CF1601,13675,13755,13660,13695,13710,4324,33406
2015-3-24,CF1603,0,0,0,0,13710,0,16
2015-3-25,CF1505,13020,13030,12955,12955,12990,35772,91892
2015-3-25,CF1507,13100,13130,13100,13115,13115,28,1244
2015-3-25,CF1509,13350,13355,13235,13245,13295,70298,201440
2015-3-25,CF1511,13555,13555,13485,13485,13520,18,460
2015-3-25,CF1601,13680,13705,13610,13610,13655,1830,33882
2015-3-25,CF1603,13840,13840,13805,13805,13830,6,20
2015-3-26,CF1505,12950,12950,12850,12930,12915,26740,84782
2015-3-26,CF1507,13080,13080,13060,13075,13070,10,1250
2015-3-26,CF1509,13210,13245,13140,13210,13200,102452,211450
2015-3-26,CF1511,13420,13490,13420,13455,13450,116,542
2015-3-26,CF1601,13590,13615,13520,13560,13570,5806,35352
2015-3-26,CF1603,13735,13735,13735,13735,13735,2,22
2015-3-27,CF1505,12935,12975,12845,12975,12890,21080,75584
2015-3-27,CF1507,12985,13015,12985,13015,13005,30,1240
2015-3-27,CF1509,13200,13285,13100,13280,13175,114536,213828
2015-3-27,CF1511,13470,13470,13380,13440,13415,32,534
2015-3-27,CF1601,13560,13620,13465,13620,13530,4806,36370
2015-3-27,CF1603,13700,13700,13700,13700,13700,2,24
2015-3-30,CF1505,12990,12990,12885,12885,12935,21604,69836
2015-3-30,CF1507,13100,13100,13100,13100,13100,4,1244
2015-3-30,CF1509,13290,13295,13160,13170,13220,106962,219240
2015-3-30,CF1511,13500,13500,13455,13455,13470,6,534
2015-3-30,CF1601,13610,13620,13500,13510,13560,3882,36960
2015-3-30,CF1603,0,0,0,0,13700,0,24
2015-3-31,CF1505,12880,12920,12805,12805,12865,12976,66128
2015-3-31,CF1507,12955,13000,12955,13000,12980,20,1240
2015-3-31,CF1509,13170,13210,13075,13085,13145,103924,235026
2015-3-31,CF1511,13415,13415,13355,13355,13385,16,536
2015-3-31,CF1601,13490,13535,13420,13430,13495,5218,38516
2015-3-31,CF1603,13700,13700,13620,13620,13670,10,28
2015-4-1,CF1505,12800,12840,12670,12735,12755,22934,60414
2015-4-1,CF1507,0,0,0,0,12890,0,1240
2015-4-1,CF1509,13055,13135,12935,13005,13045,160262,237018
2015-4-1,CF1511,13295,13350,13230,13275,13260,72,556
2015-4-1,CF1601,13395,13445,13285,13340,13375,11240,41480
2015-4-1,CF1603,13605,13605,13490,13555,13550,12,34
2015-4-2,CF1505,12740,12820,12710,12715,12760,9664,57108
2015-4-2,CF1507,12830,12860,12830,12860,12840,8,1236
2015-4-2,CF1509,12995,13095,12970,13000,13040,106078,245288
2015-4-2,CF1511,13300,13325,13235,13235,13280,32,544
2015-4-2,CF1601,13335,13400,13315,13320,13365,7148,43110
2015-4-2,CF1603,13545,13545,13545,13545,13545,2,34
2015-4-3,CF1505,12750,12775,12670,12670,12725,15888,48346
2015-4-3,CF1507,12855,12855,12745,12745,12785,34,1214
2015-4-3,CF1509,13040,13080,12925,12955,13010,104306,248592
2015-4-3,CF1511,13315,13315,13260,13260,13285,10,542
2015-4-3,CF1601,13330,13385,13240,13260,13310,7194,43898
2015-4-3,CF1603,13485,13485,13485,13485,13485,2,36
2015-4-7,CF1505,12710,12755,12615,12640,12685,10834,44624
2015-4-7,CF1507,12850,12850,12690,12705,12725,64,1216
2015-4-7,CF1509,13010,13045,12835,12905,12945,126044,258160
2015-4-7,CF1511,13240,13265,13105,13165,13175,90,572
2015-4-7,CF1601,13250,13325,13170,13230,13255,8242,45668
2015-4-7,CF1603,13450,13450,13345,13355,13370,22,42
2015-4-8,CF1505,12635,12780,12595,12780,12695,14378,40628
2015-4-8,CF1507,12750,12840,12750,12840,12780,44,1176
2015-4-8,CF1509,12920,13085,12840,13045,12965,214656,284450
2015-4-8,CF1511,13105,13295,13105,13295,13190,124,532
2015-4-8,CF1601,13225,13300,13175,13285,13245,13592,47944
2015-4-8,CF1603,0,0,0,0,13420,0,42
2015-4-9,CF1505,12830,12855,12755,12775,12805,12746,35776
2015-4-9,CF1507,12880,12895,12860,12860,12890,40,1146
2015-4-9,CF1509,13060,13135,12995,13035,13065,153918,288460
2015-4-9,CF1511,13275,13300,13230,13230,13275,128,554
2015-4-9,CF1601,13305,13320,13230,13275,13290,5786,49688
2015-4-9,CF1603,13415,13420,13405,13420,13415,10,42
2015-4-10,CF1505,12815,12815,12675,12710,12725,7490,33304
2015-4-10,CF1507,12895,12895,12730,12810,12790,36,1130
2015-4-10,CF1509,13040,13040,12885,12925,12960,118456,284726
2015-4-10,CF1511,13170,13170,13135,13170,13155,14,550
2015-4-10,CF1601,13245,13265,13150,13165,13195,7984,49566
2015-4-10,CF1603,13400,13400,13400,13400,13400,2,44
2015-4-13,CF1505,12685,12700,12555,12620,12620,13376,28296
2015-4-13,CF1507,12725,12725,12725,12725,12725,2,1132
2015-4-13,CF1509,12900,12975,12850,12955,12910,117696,290176
2015-4-13,CF1511,13140,13150,13115,13135,13130,88,554
2015-4-13,CF1601,13105,13195,13100,13165,13145,7240,51612
2015-4-13,CF1603,0,0,0,0,13365,0,44
2015-4-14,CF1505,12605,12650,12590,12635,12615,5960,25262
2015-4-14,CF1507,0,0,0,0,12740,0,1132
2015-4-14,CF1509,12950,13015,12920,12985,12970,113018,295184
2015-4-14,CF1511,13135,13135,13135,13135,13135,2,552
2015-4-14,CF1601,13175,13205,13140,13200,13175,10368,58238
2015-4-14,CF1603,13360,13360,13360,13360,13360,2,46
2015-4-15,CF1505,12625,12690,12600,12600,12630,2626,24200
2015-4-15,CF1507,12740,12795,12740,12750,12755,16,1130
2015-4-15,CF1509,13000,13045,12925,12955,12980,90630,293568
2015-4-15,CF1511,13170,13170,13140,13140,13155,8,552
2015-4-15,CF1601,13190,13220,13145,13165,13175,5068,59908
2015-4-15,CF1603,13365,13370,13365,13370,13370,4,50
2015-4-16,CF1505,12590,12715,12590,12700,12675,3036,23504
2015-4-16,CF1507,12810,12810,12810,12810,12810,6,1128
2015-4-16,CF1509,12970,13090,12950,13070,13035,138032,293142
2015-4-16,CF1511,13160,13250,13160,13210,13210,36,562
2015-4-16,CF1601,13170,13285,13150,13240,13230,10798,64830
2015-4-16,CF1603,13430,13430,13430,13430,13430,2,52
2015-4-17,CF1505,12700,12720,12650,12675,12680,1606,22534
2015-4-17,CF1507,0,0,0,0,12810,0,1128
2015-4-17,CF1509,13050,13095,12980,13020,13040,95304,296008
2015-4-17,CF1511,13205,13205,13150,13195,13190,90,600
2015-4-17,CF1601,13210,13260,13185,13210,13215,7328,67074
2015-4-17,CF1603,13420,13420,13420,13420,13420,2,54
2015-4-20,CF1505,12710,12710,12665,12690,12690,3424,20102
